#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
jcn-brown-thresh01	16	10	0.0005	0.5315746973616948	0.2248288969186328	0.11402159997388114
jcn-brown-thresh01	16	10	0.001	0.4706881220130635	0.18623713938582787	0.12068203300279423
jcn-brown-thresh01	16	10	0.002	0.4577957650389625	0.23368867074430616	0.13360395632940503
jcn-brown-thresh01	16	10	0.004	0.48084693371208065	0.22220041231307344	0.13481547827108117
jcn-brown-thresh01	16	20	0.0005	0.564987299479673	0.27806070172037456	0.12246467903171257
jcn-brown-thresh01	16	20	0.001	0.4125504876174777	0.22436124606314053	0.12189564525768905
jcn-brown-thresh01	16	20	0.002	0.4805256149451169	0.1789115097907915	0.13640150283662186
jcn-brown-thresh01	16	20	0.004	0.464561759284838	0.2312464827703736	0.14267108550966803
jcn-brown-thresh01	16	60	0.0005	0.5115868420736744	0.18846000430826615	0.12743657668728323
jcn-brown-thresh01	16	60	0.001	0.5315340145873441	0.2904740248911199	0.14336008104894707
jcn-brown-thresh01	16	60	0.002	0.5307695927723346	0.2618356097237601	0.12162639515649376
jcn-brown-thresh01	16	60	0.004	0.44209934327278044	0.17303359920097003	0.12462124339235717
jcn-brown-thresh01	32	10	0.0005	0.5963597711584805	0.2942063353193742	0.14511228288635727
jcn-brown-thresh01	32	10	0.001	0.6077556397993876	0.25169071006079297	0.1434666267892782
jcn-brown-thresh01	32	10	0.002	0.596055777606954	0.2557359183968329	0.17050243407989082
jcn-brown-thresh01	32	10	0.004	0.6175480221763572	0.26448391830582046	0.1762941618354884
jcn-brown-thresh01	32	20	0.0005	0.6478248618547646	0.26763735237108266	0.17666136125331913
jcn-brown-thresh01	32	20	0.001	0.6390354733684529	0.2860698319642196	0.19353310005105828
jcn-brown-thresh01	32	20	0.002	0.6394605403188333	0.24949569213813236	0.1812683169660621
jcn-brown-thresh01	32	20	0.004	0.6018890131262781	0.27920559729766486	0.13965990105110146
jcn-brown-thresh01	32	60	0.0005	0.6897686397229983	0.31659199206256095	0.20635893518333379
jcn-brown-thresh01	32	60	0.001	0.6806623602504559	0.3087274184178533	0.18009433036775957
jcn-brown-thresh01	32	60	0.002	0.6398209982301675	0.283409742740386	0.14449659231805245
jcn-brown-thresh01	32	60	0.004	0.6690640932838346	0.3041048977005739	0.20935372847770775
jcn-brown-thresh01	64	10	0.0005	0.7541566350182578	0.3860488685494659	0.277372855910993
jcn-brown-thresh01	64	10	0.001	0.7520478536668028	0.3460888910319638	0.23469439304308015
jcn-brown-thresh01	64	10	0.002	0.8185020789344536	0.41839012222919575	0.31318499999159766
jcn-brown-thresh01	64	10	0.004	0.7162689074107789	0.3303095338348531	0.22708312205612985
jcn-brown-thresh01	64	20	0.0005	0.7501595067387271	0.3522358674175943	0.23211295898773904
jcn-brown-thresh01	64	20	0.001	0.7504310637497452	0.3778884789275436	0.28454932922394044
jcn-brown-thresh01	64	20	0.002	0.734373391946318	0.35561142751463465	0.2417056202782606
jcn-brown-thresh01	64	20	0.004	0.7385766963828303	0.35095884584938236	0.25898598791320004
jcn-brown-thresh01	64	60	0.0005	0.7570445839132188	0.35945421192668936	0.24205491037966453
jcn-brown-thresh01	64	60	0.001	0.7700545411187181	0.36136811936290053	0.2505834095744944
jcn-brown-thresh01	64	60	0.002	0.7486146581031222	0.3305199198477609	0.25651376020507166
jcn-brown-thresh01	64	60	0.004	0.7776963828910798	0.35704907203998837	0.2493681136846136
jcn-brown-thresh01	100	10	0.001	0.7932647239907339	0.42578980737579236	0.3180297601821565
jcn-brown-thresh01	100	10	0.002	0.7893705923905503	0.3702648194070974	0.3188401773691196
jcn-brown-thresh01	100	10	0.004	0.8348078892572233	0.39682252949989905	0.3790257184695763
jcn-brown-thresh01	100	20	0.0005	0.8204818046951825	0.4212287287987955	0.3274382160151048
jcn-brown-thresh01	100	20	0.001	0.8169158366422703	0.38541819798557453	0.3002247517232696
jcn-brown-thresh01	100	20	0.002	0.7939399402416153	0.3984810001241457	0.3267446341304768
jcn-brown-thresh01	100	20	0.004	0.7919386036611615	0.377011227344469	0.2851833489325131
jcn-brown-thresh01	100	60	0.0005	0.7976053099408941	0.3963032875580208	0.31936680245983434
jcn-brown-thresh01	100	60	0.001	0.8065995949961775	0.43116037853421685	0.3318527829317313
jcn-brown-thresh01	100	60	0.002	0.7723859504729979	0.3600042257173372	0.2886585501730614
jcn-brown-thresh01	100	60	0.004	0.7993940521133952	0.41202879909764745	0.33612698644862826
jcn-brown-thresh01	200	10	0.0005	0.8461151819725469	0.40062556440169494	0.39079269626527197
jcn-brown-thresh01	200	10	0.001	0.894322868124624	0.4310523419245763	0.35644478415043546
jcn-brown-thresh01	200	10	0.002	0.8695238431625634	0.44430645762325355	0.3927978836523209
jcn-brown-thresh01	200	10	0.004	0.868610298567083	0.4225907334793849	0.3961730240742103
jcn-brown-thresh01	200	20	0.0005	0.8725889845305327	0.4542153382217305	0.42083433513525187
jcn-brown-thresh01	200	20	0.001	0.8792883183343618	0.3969547164251746	0.3676671679596215
jcn-brown-thresh01	200	20	0.002	0.8661525755963843	0.40339202469615976	0.37776313387140914
jcn-brown-thresh01	200	20	0.004	0.8557346574807957	0.40977016570941177	0.39287260257209167
jcn-brown-thresh01	200	60	0.0005	0.8674993724433251	0.4177134868509376	0.3590597571339199
jcn-brown-thresh01	200	60	0.001	0.8786388563310473	0.4290310478451673	0.40379685092987294
jcn-brown-thresh01	200	60	0.002	0.8744545222945567	0.40762854659230574	0.381726609759726
jcn-brown-thresh01	200	60	0.004	0.8877682902532951	0.43139991147978757	0.3828766486488496
jcn-brown-thresh01	300	100	0.001	0.8849849832222658	0.419681382124792	0.4140906623665531
jcn-brown-thresh01	300	10	0.0005	0.8968433924624185	0.4321551927976072	0.4188339583913861
jcn-brown-thresh01	300	10	0.001	0.8955549082690777	0.4495378140942412	0.4349086905646306
jcn-brown-thresh01	300	10	0.002	0.8878365552580844	0.4312788552298426	0.44228409090110304
jcn-brown-thresh01	300	10	0.004	0.8867286960833662	0.4226508553753307	0.4590547086357222
jcn-brown-thresh01	300	20	0.0005	0.9040285431807235	0.43113161751912926	0.4603831596458551
jcn-brown-thresh01	300	20	0.001	0.8840449938079115	0.44595938322128625	0.471799589738995
jcn-brown-thresh01	300	20	0.002	0.8815412056688514	0.44184883294630783	0.4380565821863916
jcn-brown-thresh01	300	20	0.004	0.9009279389450474	0.4182910632810444	0.4108801800349723
jcn-brown-thresh01	300	60	0.0005	0.928428214818129	0.4383954799906618	0.47195845191692115
jcn-brown-thresh01	300	60	0.001	0.8985456913560198	0.45530246803142965	0.4354923498282658
jcn-brown-thresh01	300	60	0.002	0.9006156991596785	0.43954571747965276	0.42001211430297497
jcn-brown-thresh01	300	60	0.004	0.8717606036259425	0.45273335379811686	0.42090000450727727
